slot,action,sample_ready,channel_success,weighted_aoi,aoi_0,aoi_1,aoi_2
500,1,1,1,44.0,12,1,10
501,0,1,1,38.0,1,2,11
502,1,0,0,44.0,2,3,12
503,2,1,0,50.0,3,4,13
504,1,1,1,48.0,4,1,14
505,0,1,0,54.0,5,2,15
506,1,1,1,56.0,6,1,16
507,2,1,1,14.0,7,2,1
508,1,1,1,16.0,8,1,2
509,0,1,1,14.0,1,2,3
510,1,1,0,20.0,2,3,4
511,2,1,0,26.0,3,4,5
512,1,1,1,24.0,4,1,6
513,0,1,1,26.0,1,2,7
514,1,1,0,32.0,2,3,8
515,2,1,1,14.0,3,4,1
516,1,1,1,12.0,4,1,2
517,0,1,1,14.0,1,2,3
518,1,0,0,20.0,2,3,4
519,2,1,1,14.0,3,4,1
520,1,1,1,12.0,4,1,2
521,0,1,1,14.0,1,2,3
522,1,1,1,16.0,2,1,4
523,2,0,0,22.0,3,2,5
524,1,1,1,24.0,4,1,6
525,0,1,1,26.0,1,2,7
526,1,1,1,28.0,2,1,8
527,2,0,0,34.0,3,2,9
528,1,1,1,36.0,4,1,10
529,0,1,0,42.0,5,2,11
530,1,1,1,44.0,6,1,12
531,2,0,0,50.0,7,2,13
532,1,1,1,52.0,8,1,14
533,0,1,1,50.0,1,2,15
534,1,0,0,56.0,2,3,16
535,2,1,1,14.0,3,4,1
536,1,1,0,20.0,4,5,2
537,0,1,1,22.0,1,6,3
538,1,1,1,16.0,2,1,4
539,2,0,0,22.0,3,2,5
540,1,1,0,28.0,4,3,6
541,0,1,1,30.0,1,4,7
542,1,1,0,36.0,2,5,8
543,2,0,0,42.0,3,6,9
544,1,1,1,36.0,4,1,10
545,0,1,1,38.0,1,2,11
546,1,1,1,40.0,2,1,12
547,2,1,0,46.0,3,2,13
548,1,1,1,48.0,4,1,14
549,0,1,1,50.0,1,2,15
550,1,1,0,56.0,2,3,16
551,2,1,0,62.0,3,4,17
552,1,1,1,60.0,4,1,18
553,0,1,1,62.0,1,2,19
554,1,0,0,68.0,2,3,20
555,2,1,1,14.0,3,4,1
556,1,1,1,12.0,4,1,2
557,0,1,0,18.0,5,2,3
558,1,1,0,24.0,6,3,4
559,2,1,1,18.0,7,4,1
560,1,1,1,16.0,8,1,2
561,0,1,1,14.0,1,2,3
562,1,0,0,20.0,2,3,4
563,2,1,1,14.0,3,4,1
564,1,1,1,12.0,4,1,2
565,0,1,1,14.0,1,2,3
566,1,1,1,16.0,2,1,4
567,2,1,1,10.0,3,2,1
568,1,1,0,16.0,4,3,2
569,0,1,1,18.0,1,4,3
570,1,1,0,24.0,2,5,4
571,2,1,1,18.0,3,6,1
572,1,1,0,24.0,4,7,2
573,0,1,1,26.0,1,8,3
574,1,1,0,32.0,2,9,4
575,2,1,1,26.0,3,10,1
576,1,1,1,12.0,4,1,2
577,0,1,1,14.0,1,2,3
578,1,1,0,20.0,2,3,4
579,2,0,0,26.0,3,4,5
580,1,1,0,32.0,4,5,6
581,0,1,1,34.0,1,6,7
582,1,1,1,28.0,2,1,8
583,2,1,1,10.0,3,2,1
584,1,1,0,16.0,4,3,2
585,0,1,1,18.0,1,4,3
586,1,1,1,16.0,2,1,4
587,2,1,1,10.0,3,2,1
588,1,1,1,12.0,4,1,2
589,0,0,0,18.0,5,2,3
590,1,1,1,20.0,6,1,4
591,2,1,1,14.0,7,2,1
592,1,1,1,16.0,8,1,2
593,0,1,1,14.0,1,2,3
594,1,1,0,20.0,2,3,4
595,2,1,1,14.0,3,4,1
596,1,1,1,12.0,4,1,2
597,0,1,1,14.0,1,2,3
598,1,1,0,20.0,2,3,4
599,2,1,1,14.0,3,4,1
600,1,1,1,12.0,4,1,2
601,0,1,1,14.0,1,2,3
602,1,1,1,16.0,2,1,4
603,2,1,1,10.0,3,2,1
604,1,1,0,16.0,4,3,2
605,0,1,1,18.0,1,4,3
606,1,1,1,16.0,2,1,4
607,2,1,1,10.0,3,2,1
608,1,1,1,12.0,4,1,2
609,0,1,1,14.0,1,2,3
610,1,1,0,20.0,2,3,4
611,2,1,1,14.0,3,4,1
612,1,1,1,12.0,4,1,2
613,0,1,1,14.0,1,2,3
614,1,1,0,20.0,2,3,4
615,2,0,0,26.0,3,4,5
616,1,1,1,24.0,4,1,6
617,0,0,0,30.0,5,2,7
618,1,1,1,32.0,6,1,8
619,2,1,1,14.0,7,2,1
620,1,1,1,16.0,8,1,2
621,0,1,1,14.0,1,2,3
622,1,1,1,16.0,2,1,4
623,2,1,1,10.0,3,2,1
624,1,1,1,12.0,4,1,2
625,0,1,1,14.0,1,2,3
626,1,1,1,16.0,2,1,4
627,2,0,0,22.0,3,2,5
628,1,1,1,24.0,4,1,6
629,0,1,1,26.0,1,2,7
630,1,1,1,28.0,2,1,8
631,2,1,1,10.0,3,2,1
632,1,1,1,12.0,4,1,2
633,0,1,0,18.0,5,2,3
634,1,1,0,24.0,6,3,4
635,2,1,1,18.0,7,4,1
636,1,1,1,16.0,8,1,2
637,0,1,1,14.0,1,2,3
638,1,1,1,16.0,2,1,4
639,2,0,0,22.0,3,2,5
640,1,1,1,24.0,4,1,6
641,0,1,1,26.0,1,2,7
642,1,1,1,28.0,2,1,8
643,2,1,1,10.0,3,2,1
644,1,1,0,16.0,4,3,2
645,0,1,1,18.0,1,4,3
646,1,1,1,16.0,2,1,4
647,2,1,0,22.0,3,2,5
648,1,1,1,24.0,4,1,6
649,0,1,1,26.0,1,2,7
650,1,1,1,28.0,2,1,8
651,2,1,1,10.0,3,2,1
652,1,1,0,16.0,4,3,2
653,0,1,1,18.0,1,4,3
654,1,1,1,16.0,2,1,4
655,2,1,1,10.0,3,2,1
656,1,1,0,16.0,4,3,2
657,0,0,0,22.0,5,4,3
658,1,1,1,20.0,6,1,4
659,2,1,1,14.0,7,2,1
660,1,1,1,16.0,8,1,2
661,0,1,1,14.0,1,2,3
662,1,1,0,20.0,2,3,4
663,2,0,0,26.0,3,4,5
664,1,1,1,24.0,4,1,6
665,0,1,1,26.0,1,2,7
666,1,1,1,28.0,2,1,8
667,2,1,1,10.0,3,2,1
668,1,0,0,16.0,4,3,2
669,0,1,1,18.0,1,4,3
670,1,1,1,16.0,2,1,4
671,2,1,1,10.0,3,2,1
672,1,1,1,12.0,4,1,2
673,0,1,1,14.0,1,2,3
674,1,0,0,20.0,2,3,4
675,2,1,0,26.0,3,4,5
676,1,0,0,32.0,4,5,6
677,0,1,1,34.0,1,6,7
678,1,1,1,28.0,2,1,8
679,2,1,1,10.0,3,2,1
680,1,0,0,16.0,4,3,2
681,0,1,1,18.0,1,4,3
682,1,1,1,16.0,2,1,4
683,2,1,1,10.0,3,2,1
684,1,1,0,16.0,4,3,2
685,0,1,1,18.0,1,4,3
686,1,1,1,16.0,2,1,4
687,2,1,0,22.0,3,2,5
688,1,1,0,28.0,4,3,6
689,0,1,1,30.0,1,4,7
690,1,1,1,28.0,2,1,8
691,2,1,0,34.0,3,2,9
692,1,1,1,36.0,4,1,10
693,0,1,1,38.0,1,2,11
694,1,1,0,44.0,2,3,12
695,2,1,0,50.0,3,4,13
696,1,1,1,48.0,4,1,14
697,0,1,1,50.0,1,2,15
698,1,1,1,52.0,2,1,16
699,2,1,1,10.0,3,2,1
700,1,1,1,12.0,4,1,2
701,0,1,1,14.0,1,2,3
702,1,1,1,16.0,2,1,4
703,2,0,0,22.0,3,2,5
704,1,1,0,28.0,4,3,6
705,0,1,0,34.0,5,4,7
706,1,0,0,40.0,6,5,8
707,2,0,0,46.0,7,6,9
708,1,0,0,52.0,8,7,10
709,0,0,0,58.0,9,8,11
710,1,1,1,48.0,10,1,12
711,2,0,0,54.0,11,2,13
712,1,1,0,60.0,12,3,14
713,0,0,0,66.0,13,4,15
714,1,1,1,64.0,14,1,16
715,2,1,0,70.0,15,2,17
716,1,1,0,76.0,16,3,18
717,0,1,0,82.0,17,4,19
718,1,1,0,88.0,18,5,20
719,2,1,0,94.0,19,6,21
720,1,0,0,100.0,20,7,22
721,0,1,1,86.0,1,8,23
722,1,0,0,92.0,2,9,24
723,2,1,1,26.0,3,10,1
724,1,0,0,32.0,4,11,2
725,0,1,0,38.0,5,12,3
726,1,1,1,20.0,6,1,4
727,2,1,1,14.0,7,2,1
728,1,1,1,16.0,8,1,2
729,0,1,1,14.0,1,2,3
730,1,1,1,16.0,2,1,4
731,2,1,1,10.0,3,2,1
732,1,1,1,12.0,4,1,2
733,0,1,1,14.0,1,2,3
734,1,1,1,16.0,2,1,4
735,2,1,1,10.0,3,2,1
736,1,1,1,12.0,4,1,2
737,0,1,1,14.0,1,2,3
738,1,1,1,16.0,2,1,4
739,2,0,0,22.0,3,2,5
740,1,1,1,24.0,4,1,6
741,0,1,1,26.0,1,2,7
742,1,1,0,32.0,2,3,8
743,2,1,1,14.0,3,4,1
744,1,0,0,20.0,4,5,2
745,0,1,0,26.0,5,6,3
746,1,1,1,20.0,6,1,4
747,2,1,1,14.0,7,2,1
748,1,1,1,16.0,8,1,2
749,0,1,1,14.0,1,2,3
750,1,1,1,16.0,2,1,4
751,2,1,0,22.0,3,2,5
752,1,1,1,24.0,4,1,6
753,0,1,1,26.0,1,2,7
754,1,1,0,32.0,2,3,8
755,2,1,1,14.0,3,4,1
756,1,1,1,12.0,4,1,2
757,0,1,1,14.0,1,2,3
758,1,1,1,16.0,2,1,4
759,2,1,1,10.0,3,2,1
760,1,1,1,12.0,4,1,2
761,0,1,1,14.0,1,2,3
762,1,1,1,16.0,2,1,4
763,2,1,1,10.0,3,2,1
764,1,1,1,12.0,4,1,2
765,0,1,1,14.0,1,2,3
766,1,0,0,20.0,2,3,4
767,2,1,1,14.0,3,4,1
768,1,1,1,12.0,4,1,2
769,0,1,1,14.0,1,2,3
770,1,0,0,20.0,2,3,4
771,2,1,1,14.0,3,4,1
772,1,1,1,12.0,4,1,2
773,0,1,1,14.0,1,2,3
774,1,0,0,20.0,2,3,4
775,2,1,0,26.0,3,4,5
776,1,0,0,32.0,4,5,6
777,0,1,1,34.0,1,6,7
778,1,0,0,40.0,2,7,8
779,2,1,1,22.0,3,8,1
780,1,1,1,12.0,4,1,2
781,0,1,1,14.0,1,2,3
782,1,1,1,16.0,2,1,4
783,2,1,1,10.0,3,2,1
784,1,1,0,16.0,4,3,2
785,0,1,1,18.0,1,4,3
786,1,0,0,24.0,2,5,4
787,2,1,0,30.0,3,6,5
788,1,1,1,24.0,4,1,6
789,0,1,1,26.0,1,2,7
790,1,1,1,28.0,2,1,8
791,2,0,0,34.0,3,2,9
792,1,1,0,40.0,4,3,10
793,0,1,1,42.0,1,4,11
794,1,1,1,40.0,2,1,12
795,2,1,1,10.0,3,2,1
796,1,1,1,12.0,4,1,2
797,0,1,1,14.0,1,2,3
798,1,0,0,20.0,2,3,4
799,2,1,1,14.0,3,4,1
800,1,1,1,12.0,4,1,2
801,0,1,1,14.0,1,2,3
802,1,1,0,20.0,2,3,4
803,2,0,0,26.0,3,4,5
804,1,1,1,24.0,4,1,6
805,0,1,1,26.0,1,2,7
806,1,1,1,28.0,2,1,8
807,2,1,1,10.0,3,2,1
808,1,1,0,16.0,4,3,2
809,0,1,1,18.0,1,4,3
810,1,1,1,16.0,2,1,4
811,2,0,0,22.0,3,2,5
812,1,1,1,24.0,4,1,6
813,0,1,1,26.0,1,2,7
814,1,1,1,28.0,2,1,8
815,2,0,0,34.0,3,2,9
816,1,1,1,36.0,4,1,10
817,0,1,1,38.0,1,2,11
818,1,1,1,40.0,2,1,12
819,2,0,0,46.0,3,2,13
820,1,1,1,48.0,4,1,14
821,0,1,1,50.0,1,2,15
822,1,0,0,56.0,2,3,16
823,2,0,0,62.0,3,4,17
824,1,1,1,60.0,4,1,18
825,0,1,1,62.0,1,2,19
826,1,1,1,64.0,2,1,20
827,2,1,1,10.0,3,2,1
828,1,1,0,16.0,4,3,2
829,0,1,1,18.0,1,4,3
830,1,1,1,16.0,2,1,4
831,2,1,0,22.0,3,2,5
832,1,0,0,28.0,4,3,6
833,0,1,1,30.0,1,4,7
834,1,1,1,28.0,2,1,8
835,2,1,1,10.0,3,2,1
836,1,1,1,12.0,4,1,2
837,0,1,1,14.0,1,2,3
838,1,1,1,16.0,2,1,4
839,2,1,0,22.0,3,2,5
840,1,1,1,24.0,4,1,6
841,0,1,0,30.0,5,2,7
842,1,1,1,32.0,6,1,8
843,2,1,1,14.0,7,2,1
844,1,1,1,16.0,8,1,2
845,0,1,1,14.0,1,2,3
846,1,1,1,16.0,2,1,4
847,2,0,0,22.0,3,2,5
848,1,1,1,24.0,4,1,6
849,0,1,1,26.0,1,2,7
850,1,1,1,28.0,2,1,8
851,2,1,1,10.0,3,2,1
852,1,1,1,12.0,4,1,2
853,0,1,1,14.0,1,2,3
854,1,0,0,20.0,2,3,4
855,2,1,1,14.0,3,4,1
856,1,1,1,12.0,4,1,2
857,0,1,1,14.0,1,2,3
858,1,1,1,16.0,2,1,4
859,2,1,1,10.0,3,2,1
860,1,1,0,16.0,4,3,2
861,0,1,1,18.0,1,4,3
862,1,1,1,16.0,2,1,4
863,2,1,0,22.0,3,2,5
864,1,1,1,24.0,4,1,6
865,0,1,1,26.0,1,2,7
866,1,0,0,32.0,2,3,8
867,2,1,0,38.0,3,4,9
868,1,1,1,36.0,4,1,10
869,0,1,1,38.0,1,2,11
870,1,1,1,40.0,2,1,12
871,2,0,0,46.0,3,2,13
872,1,1,1,48.0,4,1,14
873,0,1,1,50.0,1,2,15
874,1,1,1,52.0,2,1,16
875,2,0,0,58.0,3,2,17
876,1,1,1,60.0,4,1,18
877,0,0,0,66.0,5,2,19
878,1,1,1,68.0,6,1,20
879,2,1,0,74.0,7,2,21
880,1,0,0,80.0,8,3,22
881,0,1,1,78.0,1,4,23
882,1,0,0,84.0,2,5,24
883,2,1,1,18.0,3,6,1
884,1,0,0,24.0,4,7,2
885,0,1,1,26.0,1,8,3
886,1,1,0,32.0,2,9,4
887,2,0,0,38.0,3,10,5
888,1,1,1,24.0,4,1,6
889,0,1,1,26.0,1,2,7
890,1,1,1,28.0,2,1,8
891,2,0,0,34.0,3,2,9
892,1,1,1,36.0,4,1,10
893,0,1,1,38.0,1,2,11
894,1,1,1,40.0,2,1,12
895,2,1,1,10.0,3,2,1
896,1,1,1,12.0,4,1,2
897,0,1,1,14.0,1,2,3
898,1,0,0,20.0,2,3,4
899,2,1,0,26.0,3,4,5
900,1,1,0,32.0,4,5,6
901,0,1,1,34.0,1,6,7
902,1,1,0,40.0,2,7,8
903,2,1,1,22.0,3,8,1
904,1,1,0,28.0,4,9,2
905,0,1,1,30.0,1,10,3
906,1,1,1,16.0,2,1,4
907,2,1,1,10.0,3,2,1
908,1,1,1,12.0,4,1,2
909,0,1,1,14.0,1,2,3
910,1,0,0,20.0,2,3,4
911,2,1,0,26.0,3,4,5
912,1,1,1,24.0,4,1,6
913,0,1,1,26.0,1,2,7
914,1,1,0,32.0,2,3,8
915,2,1,0,38.0,3,4,9
916,1,1,1,36.0,4,1,10
917,0,1,1,38.0,1,2,11
918,1,1,1,40.0,2,1,12
919,2,1,1,10.0,3,2,1
920,1,1,1,12.0,4,1,2
921,0,1,1,14.0,1,2,3
922,1,1,0,20.0,2,3,4
923,2,1,1,14.0,3,4,1
924,1,1,1,12.0,4,1,2
925,0,1,1,14.0,1,2,3
926,1,1,0,20.0,2,3,4
927,2,1,1,14.0,3,4,1
928,1,1,1,12.0,4,1,2
929,0,1,1,14.0,1,2,3
930,1,1,1,16.0,2,1,4
931,2,1,1,10.0,3,2,1
932,1,0,0,16.0,4,3,2
933,0,1,1,18.0,1,4,3
934,1,1,1,16.0,2,1,4
935,2,0,0,22.0,3,2,5
936,1,1,1,24.0,4,1,6
937,0,1,1,26.0,1,2,7
938,1,1,1,28.0,2,1,8
939,2,1,1,10.0,3,2,1
940,1,1,1,12.0,4,1,2
941,0,1,1,14.0,1,2,3
942,1,1,1,16.0,2,1,4
943,2,1,1,10.0,3,2,1
944,1,1,1,12.0,4,1,2
945,0,1,0,18.0,5,2,3
946,1,1,1,20.0,6,1,4
947,2,0,0,26.0,7,2,5
948,1,1,1,28.0,8,1,6
949,0,1,1,26.0,1,2,7
950,1,0,0,32.0,2,3,8
951,2,1,1,14.0,3,4,1
952,1,0,0,20.0,4,5,2
953,0,1,0,26.0,5,6,3
954,1,1,1,20.0,6,1,4
955,2,0,0,26.0,7,2,5
956,1,1,1,28.0,8,1,6
957,0,1,1,26.0,1,2,7
958,1,0,0,32.0,2,3,8
959,2,0,0,38.0,3,4,9
960,1,1,1,36.0,4,1,10
961,0,1,1,38.0,1,2,11
962,1,1,1,40.0,2,1,12
963,2,0,0,46.0,3,2,13
964,1,1,1,48.0,4,1,14
965,0,1,1,50.0,1,2,15
966,1,1,1,52.0,2,1,16
967,2,1,0,58.0,3,2,17
968,1,1,1,60.0,4,1,18
969,0,1,1,62.0,1,2,19
970,1,1,1,64.0,2,1,20
971,2,1,0,70.0,3,2,21
972,1,1,1,72.0,4,1,22
973,0,1,1,74.0,1,2,23
974,1,1,1,76.0,2,1,24
975,2,1,0,82.0,3,2,25
976,1,0,0,88.0,4,3,26
977,0,1,1,90.0,1,4,27
978,1,1,1,88.0,2,1,28
979,2,0,0,94.0,3,2,29
980,1,1,1,96.0,4,1,30
981,0,0,0,102.0,5,2,31
982,1,0,0,108.0,6,3,32
983,2,1,1,18.0,7,4,1
984,1,1,1,16.0,8,1,2
985,0,1,1,14.0,1,2,3
986,1,0,0,20.0,2,3,4
987,2,1,0,26.0,3,4,5
988,1,1,1,24.0,4,1,6
989,0,1,1,26.0,1,2,7
990,1,0,0,32.0,2,3,8
991,2,1,1,14.0,3,4,1
992,1,1,1,12.0,4,1,2
993,0,1,1,14.0,1,2,3
994,1,1,1,16.0,2,1,4
995,2,1,1,10.0,3,2,1
996,1,1,1,12.0,4,1,2
997,0,1,1,14.0,1,2,3
998,1,1,1,16.0,2,1,4
999,2,1,1,10.0,3,2,1
1000,1,1,1,12.0,4,1,2
