experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s
weight_sensitivity,high_w_2,0,whittle,80,22.35,37.0,3.9125,9.0,1.0,3.9375,10.0,1.0,3.8,8.0,1.0,4.125,10.0,1.0,3.2875,7.0,2.0,10.0,2.0,3.2875,0.249795,0.028154499996162485
weight_sensitivity,high_w_2,0,round_robin,80,27.0,54.0,3.625,10.0,1.0,3.275,10.0,1.0,4.2,15.0,1.0,5.525,15.0,1.0,5.1875,15.0,2.0,15.0,2.0,5.1875,0.0002325,0.0006976000004215166
weight_sensitivity,high_w_2,0,periodic,80,24.6,40.0,3.9,12.0,1.0,3.9,12.0,1.0,4.375,12.0,1.0,6.0,18.0,1.0,3.2125,7.0,2.0,18.0,2.0,3.2125,0.00037,0.0021207999961916357
weight_sensitivity,high_w_2,0,greedy,80,22.5125,35.0,4.55,11.0,1.0,4.3375,9.0,1.0,4.2875,9.0,1.0,4.4875,11.0,1.0,2.425,5.0,2.0,11.0,2.0,2.425,0.00093875,0.0008034999991650693
weight_sensitivity,high_w_2,0,random,80,36.2375,72.0,3.6125,13.0,1.0,10.025,32.0,1.0,5.725,15.0,1.0,4.725,16.0,1.0,6.075,17.0,2.0,32.0,2.0,6.075,0.01138,0.0015952999965520576
weight_sensitivity,high_w_4,0,whittle,80,31.9,54.0,4.9,11.0,1.0,5.0125,13.0,1.0,5.15,14.0,1.0,5.1875,11.0,1.0,2.9125,7.0,4.0,14.0,2.0,2.9125,0.00292375,0.0011442999966675416
weight_sensitivity,high_w_4,0,round_robin,80,53.0,142.0,3.625,10.0,1.0,4.7125,14.0,1.0,3.575,10.0,1.0,4.8375,10.0,1.0,9.0625,30.0,4.0,30.0,2.0,9.0625,0.00017,0.0005585000035353005
weight_sensitivity,high_w_4,0,periodic,80,38.25,74.0,5.3,16.0,1.0,7.625,24.0,1.0,7.175,22.0,1.0,5.95,16.0,1.0,3.05,8.0,4.0,24.0,2.0,3.05,0.00024125,0.0008435999989160337
weight_sensitivity,high_w_4,0,greedy,80,35.0875,64.0,6.5,16.0,1.0,6.625,17.0,1.0,6.2125,15.0,1.0,6.0,15.0,1.0,2.4375,6.0,4.0,17.0,2.0,2.4375,0.00107625,0.0010780000011436641
weight_sensitivity,high_w_4,0,random,80,64.85,153.0,3.475,10.0,1.0,10.7625,31.0,1.0,4.9625,15.0,1.0,8.85,25.0,1.0,9.2,28.0,4.0,31.0,2.0,9.2,0.00126625,0.0006487999999080785
weight_sensitivity,high_w_6,0,whittle,80,36.2875,83.0,4.75,11.0,1.0,4.9375,12.0,1.0,4.9125,11.0,1.0,5.4125,13.0,1.0,2.7125,9.0,6.0,13.0,2.0,2.7125,0.00370625,0.0013919000048190355
weight_sensitivity,high_w_6,0,round_robin,80,61.5,160.0,3.625,10.0,1.0,4.025,10.0,1.0,4.3875,15.0,1.0,4.8375,10.0,1.0,7.4375,25.0,6.0,25.0,2.0,7.4375,0.00018875,0.000647900000330992
weight_sensitivity,high_w_6,0,periodic,80,55.025,82.0,8.0,20.0,1.0,8.025,20.0,1.0,6.575,20.0,1.0,15.775,40.0,1.0,2.775,8.0,6.0,40.0,2.0,2.775,0.00022125,0.0007605999999213964
weight_sensitivity,high_w_6,0,greedy,80,42.35,79.0,7.6875,17.0,1.0,7.525,16.0,1.0,7.1,16.0,1.0,6.9125,15.0,1.0,2.1875,6.0,6.0,17.0,2.0,2.1875,0.00096375,0.0007786999995005317
weight_sensitivity,high_w_6,0,random,80,60.775,109.0,5.8625,21.0,1.0,4.425,13.0,1.0,8.925,29.0,1.0,6.5375,22.0,1.0,5.8375,15.0,6.0,29.0,2.0,5.8375,0.00125875,0.0006689000001642853
weight_sensitivity,high_w_8,0,whittle,80,49.1375,125.0,5.325,14.0,1.0,6.0,15.0,1.0,7.55,24.0,1.0,6.5625,14.0,1.0,2.9625,10.0,8.0,24.0,2.0,2.9625,0.00298,0.0011998000045423396
weight_sensitivity,high_w_8,0,round_robin,80,82.8125,240.0,3.9375,10.0,1.0,4.775,15.0,1.0,5.7,18.0,1.0,4.4,12.0,1.0,8.0,25.0,8.0,25.0,2.0,8.0,0.00017,0.0005603000026894733
weight_sensitivity,high_w_8,0,periodic,80,67.9,146.0,12.9,36.0,1.0,11.925,31.0,1.0,8.875,24.0,1.0,7.5,17.0,1.0,3.3375,12.0,8.0,36.0,2.0,3.3375,0.0001775,0.0005388999998103827
weight_sensitivity,high_w_8,0,greedy,80,56.4625,141.0,9.0375,20.0,1.0,9.2125,23.0,1.0,9.9875,28.0,1.0,8.725,24.0,1.0,2.4375,8.0,8.0,28.0,2.0,2.4375,0.00073375,0.0006473999965237454
weight_sensitivity,high_w_8,0,random,80,89.5875,206.0,6.825,21.0,1.0,5.0875,14.0,1.0,7.3125,21.0,1.0,7.6625,26.0,1.0,7.8375,22.0,8.0,26.0,2.0,7.8375,0.00135375,0.0006486999991466291
weight_sensitivity,high_w_10,0,whittle,80,46.4125,98.0,5.2375,11.0,1.0,5.3,12.0,1.0,5.475,12.0,1.0,5.9,14.0,1.0,2.45,7.0,10.0,14.0,2.0,2.45,0.00434875,0.001719699997920543
weight_sensitivity,high_w_10,0,round_robin,80,80.5625,220.0,3.9375,10.0,1.0,4.8375,20.0,1.0,4.825,15.0,1.0,5.0875,20.0,1.0,6.1875,20.0,10.0,20.0,2.0,6.1875,0.000345,0.0010542000018176623
weight_sensitivity,high_w_10,0,periodic,80,76.175,150.0,19.85,52.0,1.0,12.05,28.0,1.0,7.075,14.0,1.0,13.325,32.0,1.0,2.3875,7.0,10.0,52.0,2.0,2.3875,0.0001775,0.0006199999988893978
weight_sensitivity,high_w_10,0,greedy,80,51.8125,103.0,9.45,22.0,1.0,8.4125,19.0,1.0,8.1125,21.0,1.0,8.0875,21.0,1.0,1.775,5.0,10.0,22.0,2.0,1.775,0.0007725,0.000626200002443511
weight_sensitivity,high_w_10,0,random,80,108.6125,246.0,4.425,15.0,1.0,3.8,13.0,1.0,5.3625,18.0,1.0,8.65,25.0,1.0,8.6375,22.0,10.0,25.0,2.0,8.6375,0.00125625,0.0007132999962777831
